"","site_code","Taxon","n_treat_years","sum.ctrl.cover","mean.ctrl.cover","sum.drt.cover","mean.drt.cover","sum.cover.response","mean.cover.response"
"149","allmendb.ch","TEUCRIUM CHAMAEDRYS",3,0.5,0.5,11.25,11.25,10.75,10.75
"150","allmendb.ch","THYMUS SERPYLLUM",0.5,6.5,2.16666666666667,4.5,1.5,-2,-0.666666666666667
"151","allmendb.ch","THYMUS SERPYLLUM",1,6.5,2.16666666666667,5,1.66666666666667,-1.5,-0.5
"152","allmendb.ch","THYMUS SERPYLLUM",2,7,2.33333333333333,5.25,1.75,-1.75,-0.583333333333333
"153","allmendb.ch","THYMUS SERPYLLUM",3,7,2.33333333333333,4.5,1.5,-2.5,-0.833333333333333
"154","allmendb.ch","TRIFOLIUM MONTANUM",0.5,0.5,0.5,1,0.333333333333333,0.5,-0.166666666666667
"155","allmendb.ch","TRIFOLIUM MONTANUM",1,1,1,0.25,0.25,-0.75,-0.75
"156","allmendb.ch","TRIFOLIUM MONTANUM",2,2.5,0.833333333333333,1.5,0.75,-1,-0.0833333333333334
"157","allmendb.ch","TRIFOLIUM MONTANUM",3,1.25,1.25,0.25,0.25,-1,-1
"158","allmendb.ch","TRIFOLIUM PRATENSE",0.5,3.5,1.16666666666667,2.5,1.25,-1,0.0833333333333333
"159","allmendb.ch","TRIFOLIUM PRATENSE",1,2,1,2.25,0.75,0.25,-0.25
"160","allmendb.ch","TRIFOLIUM PRATENSE",3,0.75,0.375,0,0,-0.75,-0.375
"161","allmendo.ch","ACHILLEA MILLEFOLIUM",0.5,0.75,0.75,1.75,0.875,1,0.125
"162","allmendo.ch","ACHILLEA MILLEFOLIUM",1,1.25,1.25,0.75,0.75,-0.5,-0.5
"163","allmendo.ch","ACHILLEA MILLEFOLIUM",2,1.5,1.5,1.25,1.25,-0.25,-0.25
"164","allmendo.ch","ACHILLEA MILLEFOLIUM",3,2,2,1,1,-1,-1
"165","allmendo.ch","ANTHYLLIS VULNERARIA",0.5,2.25,1.125,5.75,1.91666666666667,3.5,0.791666666666667
"166","allmendo.ch","ANTHYLLIS VULNERARIA",1,1.75,0.875,4.5,1.5,2.75,0.625
"167","allmendo.ch","ANTHYLLIS VULNERARIA",2,1.25,0.625,5.75,1.91666666666667,4.5,1.29166666666667
"168","allmendo.ch","ANTHYLLIS VULNERARIA",3,1,1,4,1.33333333333333,3,0.333333333333333
"169","allmendo.ch","ASPERULA CYNANCHICA",0.5,1,0.333333333333333,4,2,3,1.66666666666667
"170","allmendo.ch","ASPERULA CYNANCHICA",1,1.25,0.416666666666667,4.75,2.375,3.5,1.95833333333333
"171","allmendo.ch","ASPERULA CYNANCHICA",2,1,0.5,4.75,2.375,3.75,1.875
"172","allmendo.ch","ASPERULA CYNANCHICA",3,1.25,0.625,3.25,1.625,2,1
"173","allmendo.ch","BRACHYPODIUM PINNATUM",0.5,14.75,4.91666666666667,20.75,6.91666666666667,6,2
"174","allmendo.ch","BRACHYPODIUM PINNATUM",1,10.75,3.58333333333333,18.25,6.08333333333333,7.5,2.5
"175","allmendo.ch","BRACHYPODIUM PINNATUM",2,10.75,3.58333333333333,13.5,4.5,2.75,0.916666666666667
"176","allmendo.ch","BRACHYPODIUM PINNATUM",3,11.25,3.75,12.25,4.08333333333333,1,0.333333333333333
"177","allmendo.ch","BRIZA MEDIA",0.5,4.5,1.5,7.25,2.41666666666667,2.75,0.916666666666667
"178","allmendo.ch","BRIZA MEDIA",1,5.5,1.83333333333333,7.25,2.41666666666667,1.75,0.583333333333333
"179","allmendo.ch","BRIZA MEDIA",2,5.25,1.75,7.25,2.41666666666667,2,0.666666666666667
"180","allmendo.ch","BRIZA MEDIA",3,4.25,1.41666666666667,5.5,1.83333333333333,1.25,0.416666666666667
"181","allmendo.ch","BROMUS ERECTUS",0.5,82,27.3333333333333,56,18.6666666666667,-26,-8.66666666666666
"182","allmendo.ch","BROMUS ERECTUS",1,68.5,22.8333333333333,47,15.6666666666667,-21.5,-7.16666666666667
"183","allmendo.ch","BROMUS ERECTUS",2,67.5,22.5,45.75,15.25,-21.75,-7.25
"184","allmendo.ch","BROMUS ERECTUS",3,63,21,44.75,14.9166666666667,-18.25,-6.08333333333333
"185","allmendo.ch","CAREX CARYOPHYLLEA",0.5,38.25,12.75,45,15,6.75,2.25
"186","allmendo.ch","CAREX CARYOPHYLLEA",1,37.25,12.4166666666667,42.5,14.1666666666667,5.25,1.75
"187","allmendo.ch","CAREX CARYOPHYLLEA",2,31,10.3333333333333,36.25,12.0833333333333,5.25,1.75
"188","allmendo.ch","CAREX CARYOPHYLLEA",3,26,8.66666666666667,33.75,11.25,7.75,2.58333333333333
"189","allmendo.ch","CAREX FLACCA",0.5,1.5,1.5,2,2,0.5,0.5
"190","allmendo.ch","CAREX FLACCA",1,1.5,1.5,1.5,1.5,0,0
"191","allmendo.ch","CAREX FLACCA",2,1,1,1,1,0,0
"192","allmendo.ch","CAREX FLACCA",3,1.75,1.75,1.25,1.25,-0.5,-0.5
"193","allmendo.ch","CARLINA VULGARIS",0.5,0,0,0.25,0.25,0.25,0.25
"194","allmendo.ch","CENTAUREA JACEA",0.5,1.75,0.875,4,1.33333333333333,2.25,0.458333333333333
"195","allmendo.ch","CENTAUREA JACEA",1,2,1,4.5,2.25,2.5,1.25
"196","allmendo.ch","CENTAUREA JACEA",2,2,1,4.75,2.375,2.75,1.375
"197","allmendo.ch","CENTAUREA JACEA",3,2.5,0.833333333333333,4.75,2.375,2.25,1.54166666666667
"198","allmendo.ch","CENTAUREA SCABIOSA",0.5,12,6,5.75,1.91666666666667,-6.25,-4.08333333333333
"199","allmendo.ch","CENTAUREA SCABIOSA",1,8.25,4.125,5.25,1.75,-3,-2.375
"200","allmendo.ch","CENTAUREA SCABIOSA",2,8.75,4.375,3.5,1.16666666666667,-5.25,-3.20833333333333
"201","allmendo.ch","CENTAUREA SCABIOSA",3,8.25,4.125,2.25,0.75,-6,-3.375
"202","allmendo.ch","ECHIUM VULGARE",0.5,0.25,0.25,0.25,0.25,0,0
"203","allmendo.ch","EUPHORBIA CYPARISSIAS",0.5,3.5,3.5,0.75,0.75,-2.75,-2.75
"204","allmendo.ch","EUPHORBIA CYPARISSIAS",1,2.25,2.25,1.75,1.75,-0.5,-0.5
"205","allmendo.ch","EUPHORBIA CYPARISSIAS",2,2,2,1.25,1.25,-0.75,-0.75
"206","allmendo.ch","EUPHORBIA CYPARISSIAS",3,2.25,2.25,0.75,0.375,-1.5,-1.875
"207","allmendo.ch","FESTUCA ARUNDINACEA",2,0,0,0.25,0.25,0.25,0.25
"208","allmendo.ch","FESTUCA OVINA",0.5,18.75,6.25,21.25,7.08333333333333,2.5,0.833333333333333
"209","allmendo.ch","FESTUCA OVINA",1,16.25,5.41666666666667,21.25,7.08333333333333,5,1.66666666666667
"210","allmendo.ch","FESTUCA OVINA",2,17.5,5.83333333333333,20,6.66666666666667,2.5,0.833333333333334
"211","allmendo.ch","FESTUCA OVINA",3,20,6.66666666666667,22.5,7.5,2.5,0.833333333333333
"212","allmendo.ch","GALIUM VERUM",0.5,5,1.66666666666667,2.25,1.125,-2.75,-0.541666666666667
"213","allmendo.ch","GALIUM VERUM",1,5.25,1.75,1.75,0.875,-3.5,-0.875
"214","allmendo.ch","GALIUM VERUM",2,3.5,1.16666666666667,1.75,0.875,-1.75,-0.291666666666667
"215","allmendo.ch","GALIUM VERUM",3,3.75,1.25,1.75,0.875,-2,-0.375
"216","allmendo.ch","GLOBULARIA VULGARIS",0.5,1.75,0.583333333333333,4.5,1.5,2.75,0.916666666666667
"217","allmendo.ch","GLOBULARIA VULGARIS",1,1.75,0.583333333333333,4,1.33333333333333,2.25,0.75
"218","allmendo.ch","GLOBULARIA VULGARIS",2,1.75,0.875,5.25,1.75,3.5,0.875
"219","allmendo.ch","GLOBULARIA VULGARIS",3,2.5,1.25,6,2,3.5,0.75
"220","allmendo.ch","GYPSOPHILA REPENS",0.5,0.25,0.25,0.25,0.25,0,0
"221","allmendo.ch","GYPSOPHILA REPENS",1,0.25,0.25,0.5,0.5,0.25,0.25
"222","allmendo.ch","GYPSOPHILA REPENS",2,0.25,0.25,0.25,0.25,0,0
"223","allmendo.ch","GYPSOPHILA REPENS",3,0.25,0.25,0.25,0.25,0,0
"224","allmendo.ch","HELIANTHEMUM NUMMULARIUM var. GRANDIFLORUM",0.5,12.5,4.16666666666667,16.25,5.41666666666667,3.75,1.25
"225","allmendo.ch","HELIANTHEMUM NUMMULARIUM var. GRANDIFLORUM",1,17.5,5.83333333333333,16.25,5.41666666666667,-1.25,-0.416666666666666
"226","allmendo.ch","HELIANTHEMUM NUMMULARIUM var. GRANDIFLORUM",2,16.25,5.41666666666667,17.5,5.83333333333333,1.25,0.416666666666666
"227","allmendo.ch","HELIANTHEMUM NUMMULARIUM var. GRANDIFLORUM",3,11.25,3.75,18.75,6.25,7.5,2.5
"228","allmendo.ch","HELICTOTRICHON PRATENSE",0.5,3,1,8.25,2.75,5.25,1.75
"229","allmendo.ch","HELICTOTRICHON PRATENSE",1,3.25,1.08333333333333,11.25,3.75,8,2.66666666666667
"230","allmendo.ch","HELICTOTRICHON PRATENSE",2,4.75,1.58333333333333,10.75,3.58333333333333,6,2
"231","allmendo.ch","HELICTOTRICHON PRATENSE",3,5.75,1.91666666666667,9.75,3.25,4,1.33333333333333
"232","allmendo.ch","HIPPOCREPIS COMOSA",0.5,15,5,11,3.66666666666667,-4,-1.33333333333333
"233","allmendo.ch","HIPPOCREPIS COMOSA",1,16,5.33333333333333,8.5,2.83333333333333,-7.5,-2.5
"234","allmendo.ch","HIPPOCREPIS COMOSA",2,13.75,4.58333333333333,7.75,2.58333333333333,-6,-2
"235","allmendo.ch","HIPPOCREPIS COMOSA",3,13.75,4.58333333333333,7.75,2.58333333333333,-6,-2
"236","allmendo.ch","KOELERIA PYRAMIDATA",3,0.25,0.25,0.25,0.25,0,0
"237","allmendo.ch","LEUCANTHEMUM VULGARE",0.5,0.25,0.25,0,0,-0.25,-0.25
"238","allmendo.ch","LINUM CATHARTICUM",0.5,10,3.33333333333333,11.75,3.91666666666667,1.75,0.583333333333333
"239","allmendo.ch","LINUM CATHARTICUM",1,6.25,2.08333333333333,5,1.66666666666667,-1.25,-0.416666666666667
"240","allmendo.ch","LINUM CATHARTICUM",2,1.75,0.875,0.25,0.25,-1.5,-0.625
"241","allmendo.ch","LINUM CATHARTICUM",3,0.25,0.25,1,0.5,0.75,0.25
"242","allmendo.ch","LOTUS CORNICULATUS",0.5,1.5,1.5,1.5,0.5,0,-1
"243","allmendo.ch","LOTUS CORNICULATUS",1,1.25,0.625,0.75,0.375,-0.5,-0.25
"244","allmendo.ch","LOTUS CORNICULATUS",2,1,0.5,0.5,0.25,-0.5,-0.25
"245","allmendo.ch","LOTUS CORNICULATUS",3,1.25,0.625,0.25,0.25,-1,-0.375
"246","allmendo.ch","MEDICAGO LUPULINA",0.5,0.5,0.5,0,0,-0.5,-0.5
