"","Taxon","site_code","X.x","n_treat_years.x","sum.ctrl.cover.x","mean.ctrl.cover.x","sum.drt.cover.x","mean.drt.cover.x","sum.cover.response.x","mean.cover.response.x","X.1","X.y","n_treat_years.y","sum.ctrl.cover.y","mean.ctrl.cover.y","sum.drt.cover.y","mean.drt.cover.y","sum.cover.response.y","mean.cover.response.y","diff.drt.trt","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","RTD.g.cm3","SRL_m.g","rootDiam.mm","local_lifeform","local_lifespan","functional_group","site.id"
"540","SYMPHYOTRICHUM OBLONGIFOLIUM","konzadrt.us",3974,1,2,2,0,0,-2,-2,3975,3975,2,14,4.666666667,26,8.666666667,12,4,8.666666667,NA,NA,NA,10.48,0.73,0.324153605,44.79630213,0.314933333,"FORB","PERENNIAL","FORB",25
"541","SYMPHYOTRICHUM OOLENTANGIENSE","cedarsav.us",1626,1,23,7.666666667,0,0,-23,-7.666666667,1627,1627,2,25,5,3,1.5,-22,-3.5,1.5,16.02907407,0.7209,19.81443763,14.68950044,NA,0.12,81.16666667,0.35,"FORB","PERENNIAL","FORB",9
"543","TARAXACUM CAMPYLODES","jenadrt.de",3325,1,62,20.66666667,34,11.33333333,-28,-9.333333333,3326,3326,2,123,41,18,6,-105,-35,-5.33333333,28.3472693,0.044,10.73618,30.05916441,0.1524,0.2871857,213.1,0.292,"FORB","PERENNIAL","FORB",21
"544","TARAXACUM CAMPYLODES","validate.fr",6329,1,9.8,1.96,3.7,0.925,-6.1,-1.035,6330,6330,2,19,3.8,6,6,-13,2.2,5.075,28.3472693,0.044,10.73618,30.05916441,0.1524,0.2871857,213.1,0.292,"FORB","PERENNIAL","FORB",44
"548","THALICTRUM VENULOSUM","brookdale.ca",1383,1,1,1,5.25,1.75,4.25,0.75,1384,1384,2,1,1,3.5,1.166666667,2.5,0.166666667,-0.583333333,NA,0.1059,NA,19.84,NA,NA,NA,NA,"FORB","PERENNIAL","FORB",8
"560","TRAGOPOGON PRATENSIS","baddrt.de",536,1,0.5,0.5,0,0,-0.5,-0.5,537,537,2,2.7,0.9,0.3,0.3,-2.4,-0.6,0.3,27,0.575,20.30344663,22.41578318,NA,0.170824899,150.3177187,0.287861111,"FORB","PERENNIAL","FORB",5
"588","VERONICA CHAMAEDRYS","pineta.es",5387,1,3,3,0,0,-3,-3,5388,5388,2,1,0.5,0.5,0.5,-0.5,0,0.5,25.804,0.234,10.00287923,28.10742313,0.34,0.114461321,349.9700698,0.149373333,"FORB","PERENNIAL","FORB",37
"589","VERONICA CHAMAEDRYS","elvadrt.ee",2705,1,3,1,3,1.5,0,0.5,2706,2706,2,3,1,4,1.333333333,1,0.333333333,-0.166666667,25.804,0.234,10.00287923,28.10742313,0.34,0.114461321,349.9700698,0.149373333,"FORB","PERENNIAL","FORB",16
"600","VIOLA BETONICIFOLIA","falls.au",2913,1,1,0.5,1.5,0.5,0.5,0,2914,2914,2,0.5,0.5,1,0.5,0.5,0,0,NA,0.2,NA,17.081108,NA,NA,NA,NA,"FORB","PERENNIAL","FORB",19
"606","ZIZIA APTERA","brookdale.ca",1395,1,2,2,1,1,-1,-1,1396,1396,2,2,2,3.5,1.166666667,1.5,-0.833333333,0.166666667,16.074,NA,NA,40.37573969,NA,NA,NA,NA,"FORB","PERENNIAL","FORB",8
"381","OXALIS CONORRHIZA","naposta.ar",4598,1,0,0,1,1,1,1,4599,4599,2,0,0,1,1,1,1,0,NA,0.1176,NA,42.67,NA,NA,NA,NA,"FORB","PERENNIAL","FORB",31
