"","Taxon","site_code","mean.drt.cover.yr1","mean.drt.cover.yr2","diff.drt.trt","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","RTD.g.cm3","SRL_m.g","rootDiam.mm","local_lifeform","local_lifespan","functional_group"
"159","COREOPSIS PALMATA","cedarsav.us",6.666666667,4,-2.666666667,12.06502778,0.614,18.5591,18.06209157,NA,0.1,82.33333333,0.33,"FORB","PERENNIAL","FORB"
"160","COREOPSIS PALMATA","cedartrait.us",13,4.333333333,-8.666666667,12.06502778,0.614,18.5591,18.06209157,NA,0.1,82.33333333,0.33,"FORB","PERENNIAL","FORB"
"161","CORNUS SUECICA","lygraint.no",1,1,0,19.69489943,0.171111111,7.812801366,32.24866466,NA,0.1481156,NA,NA,"FORB","PERENNIAL","WOODY"
"162","CREPIS BIENNIS","allmendb.ch",0.5,0.25,-0.25,18.28,0.183,10.22761651,19.04,0.99,0.113427835,154.7062535,0.425214286,"FORB","PERENNIAL","FORB"
"163","CREPIS BIENNIS","jenadrt.de",2,2,0,18.28,0.183,10.22761651,19.04,0.99,0.113427835,154.7062535,0.425214286,"FORB","PERENNIAL","FORB"
"164","CREPIS BIENNIS","baddrt.de",6.5,3,-3.5,18.28,0.183,10.22761651,19.04,0.99,0.113427835,154.7062535,0.425214286,"FORB","PERENNIAL","FORB"
"168","CRUCIATA GLABRA","pineta.es",0.5,0.5,0,17.002,0.194,NA,21.52069774,0.14,NA,NA,NA,"FORB","PERENNIAL","FORB"
"169","CYMBOPOGON CAESIUS","ukulingadrt.za",6.5,40.25,33.75,13.857227,NA,NA,17.88,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"170","CYNODON DACTYLON","yarradrt.au",47.5,66.325,18.825,16.887,0.235788519,NA,16.61,0.3556,0.51,26.34,0.071,"GRAMINOID","PERENNIAL","GRASS"
"171","CYNODON DACTYLON","sclaudio.ar",1,6.5,5.5,16.887,0.235788519,NA,16.61,0.3556,0.51,26.34,0.071,"GRAMINOID","PERENNIAL","GRASS"
"172","CYPERUS ERAGROSTIS","chilcasdrt.ar",0.25,0.25,0,NA,0.9,NA,14.342367,NA,NA,NA,NA,"GRAMINOID","PERENNIAL","GRAMINOID"
"173","DACTYLIS GLOMERATA","validate.fr",29.6,19,-10.6,25.72069341,0.671309259,10.15714286,26.04843708,0.3048,0.138583824,304.2076965,0.142857143,"GRASS","PERENNIAL","GRASS"
"174","DACTYLIS GLOMERATA","cowidrt.ca",4.25,2.25,-2,25.72069341,0.671309259,10.15714286,26.04843708,0.3048,0.138583824,304.2076965,0.142857143,"GRASS","PERENNIAL","GRASS"
"175","DACTYLIS GLOMERATA","rhijn.nl",20,24.33333333,4.333333333,25.72069341,0.671309259,10.15714286,26.04843708,0.3048,0.138583824,304.2076965,0.142857143,"GRASS","PERENNIAL","GRASS"
"176","DACTYLIS GLOMERATA","elvadrt.ee",11.66666667,5,-6.66666667,25.72069341,0.671309259,10.15714286,26.04843708,0.3048,0.138583824,304.2076965,0.142857143,"GRASS","PERENNIAL","GRASS"
"177","DACTYLORHIZA MACULATA","pineta.es",1.125,0.5,-0.625,22.6,0.6,NA,24.23285714,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
